MS;ANO;FAT
Jan;2003;4899
Fev;2003;4734
Mar;2003;4759
Abr;2003;4874
Mai;2003;5721
Jun;2003;4820
Jul;2003;5198
Ago;2003;5198
Set;2003;5239
Out;2003;5577
Nov;2003;5531
Dec;2003;6981
Jan;2004;5389
Fev;2004;5135
Mar;2004;5821
Abr;2004;5629
Mai;2004;6639
Jun;2004;5811
Jul;2004;6046
Ago;2004;6002
Set;2004;5907
Out;2004;6153
Nov;2004;6210
Dec;2004;7891
Jan;2005;5954
Fev;2005;5358
Mar;2005;6234
Abr;2005;5992
Mai;2005;6949
Jun;2005;6161
Jul;2005;6263
Ago;2005;6495
Set;2005;6196
Out;2005;6433
Nov;2005;6602
Dec;2005;8316
Jan;2006;6355
Fev;2006;5734
Mar;2006;6640
Abr;2006;6318
Mai;2006;7712
Jun;2006;6436
Jul;2006;6826
Ago;2006;7148
Set;2006;6958
Out;2006;7246
Nov;2006;7394
Dec;2006;8953
Jan;2007;7124
Fev;2007;6529
Mar;2007;7619
Abr;2007;7357
Mai;2007;8890
Jun;2007;7621
Jul;2007;7831
Ago;2007;8314
Set;2007;7885
Out;2007;8506
Nov;2007;8530
Dec;2007;10005
Jan;2008;8227
Fev;2008;7777
Mar;2008;8615
Abr;2008;8579
Mai;2008;10033
Jun;2008;8762
Jul;2008;9150
Ago;2008;9011
Set;2008;9181
Out;2008;8950
Nov;2008;8392
Dec;2008;10296
Jan;2009;8614
Fev;2009;8064
Mar;2009;9278
Abr;2009;8699
Mai;2009;10482
Jun;2009;9746
Jul;2009;9401
Ago;2009;9637
Set;2009;10111
Out;2009;10018
Nov;2009;9765
Dec;2009;11764
Jan;2010;9565
Fev;2010;9190
Mar;2010;11265
Abr;2010;9800
Mai;2010;11561
Jun;2010;10210
Jul;2010;10615
Ago;2010;11000
Set;2010;10825
Out;2010;11170
Nov;2010;11395
Dec;2010;13520
Jan;2011;10685
Fev;2011;10530
Mar;2011;11175
Abr;2011;11000
Mai;2011;13066
Jun;2011;11220
Jul;2011;11465
Ago;2011;11700
Set;2011;11445
Out;2011;11500
Nov;2011;11885
Dec;2011;14220
Jan;2012;11625
Fev;2012;10990
Mar;2012;12355
Abr;2012;11450
Mai;2012;13830
Jun;2012;12610
Jul;2012;12655
Ago;2012;13460
Set;2012;11825
Out;2012;13120
Nov;2012;12805
Dec;2012;15040
Jan;2013;12505
Fev;2013;11280
Mar;2013;12865
Abr;2013;12530
Mai;2013;14548
Jun;2013;12570
Jul;2013;13245
Ago;2013;13540
Set;2013;12785
Out;2013;13550
Nov;2013;13645
Dec;2013;15600
